data_acesso,clientes_id,buyin,rake,winning
2022-08-14,505,25.0,1.75,-2.75
2022-08-15,505,20.0,4.0,8.399999618530273
2022-08-16,505,65.0,5.400000035762787,-19.300000309944153
2022-08-17,505,30.0,2.6500000953674316,-30.0
2022-08-19,505,5.0,0.3499999940395355,3.549999952316284
2022-08-20,505,15.0,1.899999976158142,0.25
2022-08-23,505,10.0,2.950000047683716,-3.0999999046325684
2022-08-30,505,5.0,0.30000001192092896,-5.0
2022-11-20,505,43.0,7.3999999538064,-33.0
2022-11-21,505,15.0,1.550000011920929,16.400000393390656
2022-11-23,505,69.0,5.8499999195337296,-29.549999594688416
2022-12-04,505,26.0,4.550000071525574,-7.1499998569488525
2022-12-07,505,31.0,2.25,-16.399999916553497
2022-12-08,505,23.0,4.200000077486038,-12.299999952316284
2022-12-14,505,36.0,5.050000011920929,32.74999809265137
2022-12-15,505,39.0,3.3500000834465027,100.70000267028809
2022-12-16,505,53.0,5.800000011920929,-39.30000019073486
2022-12-20,505,78.0,10.200000025331974,-60.64999994635582
2022-12-21,505,11.0,1.100000038743019,12.100000381469727
2022-12-22,505,21.0,2.100000023841858,-21.0
2022-12-28,505,32.0,5.0,-32.0
2022-12-29,505,13.0,1.0,-13.0
2020-12-16,43346,100.0,5.329999923706055,-100.0
2022-02-16,43346,44.4900016784668,2.950000047683716,-44.4900016784668
2022-02-17,43346,15.0,0.1599999964237213,29.489999771118164
2022-03-13,34349,31.0,4.549999952316284,-26.899999998509884
2022-03-14,34349,56.0,8.889999985694885,-38.799999952316284
2022-03-15,34349,38.0,4.939999938011169,3.010000228881836
2022-03-16,34349,85.0,10.789999723434448,-37.45000076293945
2022-03-17,34349,18.0,1.9000000357627869,22.780000686645508
2022-03-18,34349,54.0,4.200000107288361,-22.360000133514404
2022-03-21,34349,100.0,10.380000114440918,79.4000015258789
2022-03-23,34349,100.0,14.129999577999115,-100.0
2022-03-24,34349,110.0,6.200000047683716,-86.91999816894531
2022-03-25,34349,24.0,3.430000066757202,-24.0
2022-03-26,34349,18.0,1.2300000190734863,-18.0
2022-03-29,34349,96.0,7.9200000166893005,5.899999618530273
2022-03-30,34349,179.0,27.97000026702881,-16.500000953674316
2022-03-31,34349,40.0,3.53000009059906,-10.899999618530273
2022-04-01,34349,36.0,2.0800000429153442,-21.0
2022-04-11,34349,8.0,2.1500000953674316,-8.0
2022-07-27,34349,54.0,3.909999966621399,76.60000038146973
2022-07-28,34349,168.0,12.299999803304672,-30.600000761449337
2022-07-29,34349,48.0,5.59000027179718,-12.600000381469727
2022-07-30,34349,18.0,5.650000095367432,-18.0
2022-08-01,34349,60.0,8.960000038146973,81.5
2022-08-02,34349,84.0,8.850000381469727,-12.699999809265137
2022-08-03,34349,210.0,23.919999837875366,-122.29999923706055
2022-08-19,34349,20.0,0.8999999761581421,27.200000762939453
2022-08-21,34349,10.0,0.0,-0.4000000059604645
2022-08-22,34349,65.0,4.700000047683716,-24.899999618530273
2022-08-23,34349,100.0,5.850000023841858,-85.75
2022-08-24,34349,20.0,1.25,0.15000009536743164
2022-08-25,34349,20.0,1.5,-16.0
2022-12-01,34349,15.0,1.4499999769032001,11.75
2022-12-02,34349,10.0,1.100000023841858,36.45000076293945
2022-12-03,34349,85.0,7.300000011920929,-60.65000009536743
2020-08-07,40554,43.0,4.300000071525574,-43.0
2020-08-10,40554,25.0,2.5000000596046448,-25.0
2020-08-16,40554,10.0,1.0000000298023224,61.670000076293945
2020-08-17,40554,23.0,2.300000011920929,212.7100067138672
2020-08-18,40554,10.0,1.0,-10.0
2020-08-24,40554,55.0,5.5,-43.420000076293945
2020-08-25,40554,55.0,5.5,-55.0
2020-08-26,40554,44.0,4.400000095367432,-44.0
2020-08-29,40554,11.0,1.100000023841858,-11.0
2020-08-31,40554,80.0,7.999999821186066,106.08000183105469
2020-09-04,40554,50.0,3.890000104904175,-50.0
2020-09-08,40554,50.0,8.649999618530273,-50.0
2020-09-09,40554,80.4000015258789,4.340000241994858,44.319998167455196
2020-09-10,40554,40.0,4.739999771118164,-40.0
2020-09-13,40554,450.0,45.0,638.530029296875
2020-09-15,40554,165.94000244140625,8.129999876022339,24.730000495910645
2020-09-16,40554,127.0,8.1899995803833,-127.0
2020-09-29,40554,44.0,4.400000095367432,-44.0
2020-10-08,40554,58.900001525878906,16.790000915527344,35.11000061035156
2020-10-14,40554,35.0,3.5,-35.0
2020-10-15,40554,4.0,0.10999999940395355,-1.7000000476837158
2020-10-16,40554,60.0,6.0,-60.0
2020-10-18,40554,9.0,0.8999999761581421,-9.0
2020-10-22,40554,61.310001373291016,13.029999732971191,47.06999969482422
2020-10-30,40554,16.0,1.600000023841858,-6.25
2020-11-02,40554,118.12999725341797,25.389999389648438,-49.34000015258789
2020-11-05,40554,68.0,6.800000190734863,-30.880001068115234
2020-11-16,40554,105.0,41.4900016784668,-105.0
2021-12-13,40554,39.0,3.899999976158142,-39.0
2021-12-14,40554,61.0,7.480000019073486,-13.0
2021-12-15,40554,38.0,3.4399999380111694,31.899999618530273
2021-12-16,40554,114.0,12.449999660253525,4.399999976158142
2021-12-20,40554,89.0,9.53000020980835,-58.09000015258789
2021-12-25,40554,30.0,3.0,-30.0
2021-12-26,40554,26.0,1.6399999856948853,-26.0
2023-03-18,94679,9.0,0.2500000074505806,-9.0
2021-12-18,4381,18.0,1.7699999995529652,-9.200000047683716
2022-04-06,58115,8.0,0.6899999976158142,-8.0
2022-04-12,58115,2.0,0.20000000298023224,-2.0
2022-09-19,58115,0.0,0.0,0.0
2022-11-06,58115,5.0,0.5,-5.0
2023-03-29,102457,10.0,0.20000000298023224,-10.0
2022-01-25,54833,42.79999923706055,5.1300002336502075,-10.0
2022-06-19,48844,24.0,2.439999997615814,-12.599999904632568
2022-06-20,48844,6.0,0.5400000065565109,1.0199999809265137
2022-06-26,48844,2.0,0.20000000298023224,-2.0
2022-07-07,48844,8.0,0.8100000023841858,-4.0
2022-07-09,48844,4.0,0.4000000059604645,-4.0
2022-07-10,48844,8.0,0.8299999833106995,-8.0
2023-02-01,48844,15.0,1.5,-15.0
2023-02-05,48844,5.0,0.5,-5.0
2023-02-28,48844,3.0,0.30000001192092896,-3.0
2023-03-01,48844,5.0,0.15000000596046448,-2.0
2023-03-05,48844,5.0,0.5,28.200000762939453
2023-03-06,48844,10.0,0.5000000149011612,-7.099999904632568
2023-03-10,48844,21.0,2.200000047683716,-10.949999809265137
